ordem,arquivo,xOff,yOff,xSize,ySize
402,36_779.ecw,643225.250254721,928134.323978044,40000,40000
403,36_780.ecw,643225.250254721,888134.323978044,40000,40000
404,36_781.ecw,643225.250254721,848134.323978044,40000,40000
405,36_782.ecw,643225.25025175,808134.323706016,40001,40000
406,36_783.ecw,643225.250251786,768134.323707119,40001,40000
407,36_784.ecw,643225.250251822,728134.323708221,40001,40000
408,36_785.ecw,643225.250251859,688134.323709324,40001,40000
409,36_786.ecw,643225.250251892,648134.32371043,40001,40000
410,36_787.ecw,643225.250251927,608134.323711537,40001,40000
411,36_788.ecw,643225.250251964,568134.323712647,40001,40000
412,36_789.ecw,643225.250251997,528134.323713757,40001,40000
413,36_790.ecw,643225.250252032,488134.323714875,40001,40000
414,36_791.ecw,643225.250252067,448134.323715989,40001,40000
415,36_792.ecw,643225.250252102,408134.32371711,40001,40000
416,36_793.ecw,643225.250252135,368134.323718224,40001,40000
417,36_794.ecw,643225.250252171,328134.323719345,40001,40000
418,36_795.ecw,643225.250252204,288134.32372047,40001,40000
419,36_796.ecw,643225.250252237,248134.323721595,40001,40000
420,36_797.ecw,643225.25025227,208134.32372272,40001,40000
421,36_798.ecw,643225.250252304,168134.323723849,40001,40000
422,36_799.ecw,643225.250252336,128134.323724978,40001,40000
423,36_800.ecw,643225.250252369,88134.3237261102,40001,40000
424,36_801.ecw,643225.250252399,48134.3237272501,40001,40000
425,36_802.ecw,643225.250252435,18110.0621417761,40001,30025
426,37_776.ecw,683225.250254729,1048134.32397804,14696,25101
427,37_777.ecw,683225.250254729,1008134.32397804,29160,40000
428,37_778.ecw,683225.250254729,968134.32397804,33932,40000
429,37_779.ecw,683225.250254729,928134.323978044,40000,40000
430,37_780.ecw,683225.250254721,888134.323978044,40000,40000
431,37_781.ecw,683225.250254721,848134.323978044,40000,40000
432,37_782.ecw,683225.25025262,808134.323706031,40001,40000
433,37_783.ecw,683225.250252644,768134.32370713,40001,40000
434,37_784.ecw,683225.250252669,728134.323708236,40001,40000
435,37_785.ecw,683225.250252693,688134.323709335,40001,40000
436,37_786.ecw,683225.250252717,648134.323710442,40001,40000
437,37_787.ecw,683225.250252742,608134.323711552,40001,40000
438,37_788.ecw,683225.250252766,568134.323712662,40001,40000
439,37_789.ecw,683225.250252791,528134.323713772,40001,40000
440,37_790.ecw,683225.250252815,488134.323714886,40001,40000
441,37_791.ecw,683225.250252839,448134.323716,40001,40000
442,37_792.ecw,683225.250252862,408134.323717117,40001,40000
443,37_793.ecw,683225.250252886,368134.323718235,40001,40000
444,37_794.ecw,683225.25025291,328134.323719356,40001,40000
445,37_795.ecw,683225.250252931,288134.323720481,40001,40000
446,37_796.ecw,683225.250252954,248134.323721606,40001,40000
447,37_797.ecw,683225.250252979,208134.323722728,40001,40000
448,37_798.ecw,683225.250253001,168134.32372386,40001,40000
449,37_799.ecw,683225.250253024,128134.323724989,40001,40000
450,37_800.ecw,683225.250253045,88134.3237261213,40001,40000
451,37_801.ecw,683225.250253077,48134.3237272575,40001,40000
452,37_802.ecw,683225.250253099,36688.5030536428,19676,11446
453,38_779.ecw,723225.250253147,928134.323702745,6201,15986
454,38_780.ecw,723225.250254721,888134.32397804,28125,40000
455,38_781.ecw,723225.250254721,848134.323978044,40000,40000
456,38_782.ecw,723225.250253188,808134.323706038,40001,40000
457,38_783.ecw,723225.250253207,768134.323707134,40001,40000
458,38_784.ecw,723225.250253222,728134.32370824,40001,40000
459,38_785.ecw,723225.250253242,688134.323709339,40001,40000
460,38_786.ecw,723225.250253259,648134.323710449,40001,40000
461,38_787.ecw,723225.250253276,608134.323711552,40001,40000
462,38_788.ecw,723225.250253293,568134.323712666,40001,40000
463,38_789.ecw,723225.250253309,528134.323713776,40001,40000
464,38_790.ecw,723225.250253325,488134.32371489,40001,40000
465,38_791.ecw,723225.250253343,448134.323716007,40001,40000
466,38_792.ecw,723225.25025336,408134.323717125,40001,40000
467,38_793.ecw,723225.250253375,368134.323718242,40001,40000
468,38_794.ecw,723225.250253394,328134.323719364,40001,40000
469,38_795.ecw,723225.25025341,288134.323720485,40001,40000
470,38_796.ecw,723225.250253424,248134.32372161,40001,40000
471,38_797.ecw,723225.25025344,208134.323722739,40001,40000
472,38_798.ecw,723225.250253457,168134.323723864,40001,40000
473,38_799.ecw,723225.250253472,128134.323724996,40001,40000
474,38_800.ecw,723225.250253489,88134.3237261251,40001,40000
475,38_801.ecw,723225.250253506,61515.7369816378,39192,26619
476,39_781.ecw,763225.250253554,848134.323704943,6491,24799
477,39_782.ecw,763225.250253563,808134.323706035,40001,40000
478,39_783.ecw,763225.250253572,768134.323707137,40001,40000
479,39_784.ecw,763225.250253586,728134.32370824,40001,40000
480,39_785.ecw,763225.250253596,688134.323709339,40001,40000
481,39_786.ecw,763225.25025361,648134.323710449,40001,40000
482,39_787.ecw,763225.250253622,608134.323711552,40001,40000
483,39_788.ecw,763225.250253633,568134.323712669,40001,40000
484,39_789.ecw,763221.250254721,528130.323978044,40008,40008
485,39_790.ecw,763225.25025366,488134.32371489,40001,40000
486,39_791.ecw,763225.25025367,448134.323716007,40001,40000
487,39_792.ecw,763225.250253684,408134.323717125,40001,40000
488,39_793.ecw,763225.250253696,368134.323718242,40001,40000
489,39_794.ecw,763225.250253706,328134.32371936,40001,40000
490,39_795.ecw,763225.250253719,288134.323720485,40001,40000
491,39_796.ecw,763225.250253731,248134.323721614,40001,40000
492,39_797.ecw,763225.250253743,208134.323722739,40001,40000
493,39_798.ecw,763225.250253753,168134.323723864,40001,40000
494,39_799.ecw,763225.250253767,128134.323724996,40001,40000
495,39_800.ecw,763225.250253781,88667.790263921,40001,39467
496,40_782.ecw,803225.25025381,808134.323706035,7945,6342
497,40_783.ecw,803225.250253813,768134.323707137,40001,40000
498,40_784.ecw,803225.250253821,728134.323708236,40001,40000
499,40_785.ecw,803225.250253832,688134.323709339,40001,40000
500,40_786.ecw,803225.25025384,648134.323710442,40001,40000
501,40_787.ecw,803225.250253848,608134.323711552,40001,40000
502,40_788.ecw,803225.25025386,568134.323712662,40001,40000
503,40_789.ecw,803225.250253867,528134.323713776,40001,40000
504,40_790.ecw,803225.250253876,488134.32371489,40001,40000
505,40_791.ecw,803225.250253886,448134.323716,40001,40000
506,40_792.ecw,803225.250253895,408134.323717121,40001,40000
507,40_793.ecw,803225.250253904,368134.323718239,40001,40000
508,40_794.ecw,803225.250253912,328134.32371936,40001,40000
509,40_795.ecw,803225.250253921,288134.323720485,40001,40000
510,40_796.ecw,803225.25025393,248134.32372161,40001,40000
511,40_797.ecw,803225.250253939,208134.323722735,40001,40000
512,40_798.ecw,803225.250253949,168134.32372386,40001,40000
513,40_799.ecw,803225.250253956,128134.323724993,40001,40000
514,40_800.ecw,803225.250253966,115052.289724868,20338,13083
515,41_783.ecw,843225.250253983,768134.323707134,27807,22120
516,41_784.ecw,843225.250253986,728134.323708232,40001,40000
517,41_785.ecw,843225.250253988,688134.323709339,40001,40000
518,41_786.ecw,843225.250253996,648134.323710442,40001,40000
519,41_787.ecw,843225.250254003,608134.323711552,40001,40000
520,41_788.ecw,843225.250254012,568134.323712662,40001,40000
521,41_789.ecw,843221.250254721,528130.323978044,40008,40008
522,41_790.ecw,843225.250254026,488134.323714886,40001,40000
523,41_791.ecw,843225.250254033,448134.323716,40001,40000
524,41_792.ecw,843225.250254039,408134.323717117,40001,40000
525,41_793.ecw,843225.250254047,368134.323718235,40001,40000
526,41_794.ecw,843225.250254053,328134.323719356,40001,40000
527,41_795.ecw,843225.25025406,288134.323720481,40001,40000
528,41_796.ecw,843225.250254068,248134.323721606,40001,40000
529,41_797.ecw,843225.250254076,208134.323722728,40001,40000
530,41_798.ecw,843225.250254082,168134.32372386,40001,40000
531,41_799.ecw,843225.250254092,140881.870854132,40001,27253
532,42_784.ecw,883225.250254104,728134.323708229,5492,13786
533,42_785.ecw,883225.250254104,688134.323709328,21072,40000
534,42_786.ecw,883225.25025411,648134.323710442,32283,40000
535,42_787.ecw,883225.250254116,608134.323711544,34434,40000
536,42_788.ecw,883225.250254122,568134.323712654,32531,40000
537,42_789.ecw,883225.250254128,528134.323713765,25589,40000
538,42_790.ecw,883225.250254133,488134.323714886,20371,40000
539,42_791.ecw,883225.250254141,448134.323715996,15197,40000
540,42_792.ecw,883225.250254146,408134.323717117,10447,40000
541,42_793.ecw,883225.250254151,368134.323718231,9399,40000
542,42_794.ecw,883225.250254158,328134.323719352,14144,40000
543,42_795.ecw,883225.250254162,288134.323720478,16788,40000
544,42_796.ecw,883225.250254167,248134.323721606,24382,40000
545,42_797.ecw,883225.250254174,208134.323722724,39343,40000
546,42_798.ecw,883225.25025418,168134.323723853,40001,40000
547,43_798.ecw,923225.250254263,191346.38552713,3308.74974573671,15379
